Back to Contents;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS AND SHOULD BE USED FOR ANALYTICAL PURPOSES ONLY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Table 56;CPIH: Detailed indices to 3 dp: 2005 to 2018 1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;aggregate number;0;1;1,1;01.1.1;01.1.2;01.1.3;01.1.4;01.1.5;01.1.6;01.1.7;01.1.8;01.1.9;1,2;01.2.1;01.2.2;2;2,1;02.1.1;02.1.2;02.1.3;2,2;3;3,1;03.1.2;03.1.3;03.1.4;3,2;4;4,1;4,2;4,3;04.3.1;04.3.2;4,4;04.4.1;04.4.3;4,5;04.5.1;04.5.2;04.5.3;04.5.4;4,9;5;5,1;05.1.1;05.1.2;5,2;5,3;05.3.1;05.3.3;5,4;5,5;5,6;05.6.1;05.6.2;6;6,1;06.1.1;06.1.2;6,2;06.2.1;06.2.2;6,3;7;7,1;07.1.2;07.1.1;07.1.1;7,2;07.2.1;07.2.2;07.2.3;07.2.4;7,3;07.3.1;07.3.2;07.3.3;07.3.4;8;8,1;8,2;9;9,1;09.1.1;09.1.2;09.1.3;09.1.4;09.1.5;9,2;09.2.1;9,3;09.3.1;09.3.2;09.3.3;09.3.4;9,4;09.4.1;09.4.2;9,5;09.5.1;09.5.2;09.5.3;9,6;10;11;11,1;11.1.1;11.1.2;11,2;12;12,1;12.1.1;12.1.2;12,3;12.3.1;12.3.2;12,4;12,5;12.5.2;12.5.3;12.5.4;12,6;12.6.2;12,7;;Agg2;Agg3;Agg4;Agg5;Agg6;Agg9;Agg10;Agg11;Agg12;Agg13;Agg14;Agg15;Agg16;Agg17;Agg18;Agg19;Agg20;Agg21;Agg23;Agg24;Agg25;Agg26;Agg27;Agg30;Agg31;Agg32;Agg33;Agg36;Agg18.1;Agg18.2;Agg40;Agg41;Agg42;Agg43;Agg44;Agg45;Agg46;Agg47;Agg48;Agg49;Agg50;Agg51;Agg52;Agg53;Agg54;Agg55;Agg56;Agg57;Agg58;Agg59;Agg60;Agg61;Agg62;Agg63;
;cdid;L522  ;L523  ;L52H  ;L52I  ;L52J  ;L52K  ;L52L  ;L52M  ;L52N  ;L52O  ;L52P  ;L52Q  ;L52R  ;L52S  ;L52T  ;L524  ;L52U  ;L52V  ;L52W  ;L52X  ;L5KR;L525  ;L52Z  ;L532  ;L533  ;L534  ;L535  ;L5PG;L536  ;L5P5;L537  ;L538  ;L539  ;L53A  ;L53B  ;L53C  ;L53D  ;L53E  ;L53F  ;L53G  ;L53H  ;DHYR;L527  ;L53I  ;L53J  ;L53K  ;L53L  ;L53M  ;L53N  ;L53O  ;L53P  ;L53Q  ;L53R  ;L53S  ;L53T  ;L528  ;L53U  ;L53V  ;L53W  ;L53X  ;L53Y  ;L53Z  ;L542  ;L529  ;L543  ;L546  ;L544  ;L545  ;L547  ;L548  ;L549  ;L54A  ;L54B  ;L54C  ;L54D  ;L54E  ;L54F  ;L54G  ;L52A  ;L54H  ;L54I  ;L52B  ;L54J  ;L54K  ;L54L  ;L54M  ;L54N  ;L54O  ;L54P  ;L54Q  ;L54R  ;L54S  ;L54T  ;L54U  ;L54V  ;L54W  ;L54X  ;L54Y  ;L54Z  ;L552  ;L553  ;L554  ;L555  ;L52C  ;L52D  ;L556  ;L557  ;L558  ;L559  ;L52E  ;L55A  ;L55B  ;L55C  ;L55D  ;L55E  ;L55F  ;L55G  ;L55H  ;L55I  ;L55J  ;L55K  ;L55L  ;L55M  ;L55N  ;;L52F  ;L5JE  ;L5JF  ;L5JG  ;L5JH  ;L5JN  ;L5JO  ;L5JP  ;L5JQ  ;L5JJ  ;L5JK  ;L5JL  ;L5JR  ;L5JS  ;L5JT  ;L5JU  ;L52G  ;L5JV  ;L5JW  ;L5JX  ;L5JY  ;L5JZ  ;L5K2  ;L5K3  ;L5K4  ;L5K5  ;L5K6  ;L5K7  ;L5K8  ;L5K9  ;L5KA  ;L5KB  ;L5KC  ;L5KD  ;L5KE ;L5KF  ;L5KG  ;L5KH  ;L5KI  ;L5KJ  ;L5JM  ;L5KK  ;L5KL  ;L5KM  ;L5KN  ;L5KO  ;L5KP  ;L5KQ  ;L5PF;L5JI  ;L5KS  ;CRQO;CRQQ;CRQP;
index date   ;name;CPIH ALL ITEMS;FOOD AND NON-ALCOHOLIC BEVERAGES;FOOD;BREAD & CEREALS;MEAT;FISH;MILK, CHEESE & EGGS;OILS & FATS;FRUIT;VEGETABLES INCLUDING POTATOES AND TUBERS;SUGAR, JAM, SYRUPS, CHOCOLATE AND CONFECTIONERY;FOOD PRODUCTS (NEC);NON-ALCOHOLIC BEVERAGES;COFFEE, TEA & COCOA;MINERAL WATERS, SOFT DRINKS AND JUICES;ALCOHOLIC BEVERAGES AND TOBACCO;ALCOHOLIC BEVERAGES;SPIRITS;WINE;BEER;TOBACCO;CLOTHING AND FOOTWEAR;CLOTHING;GARMENTS;OTHER CLOTHING & CLOTHING ACCESSORIES;CLEANING, REPAIR AND HIRE OF CLOTHING;FOOTWEAR INCLUDING REPAIRS;HOUSING, WATER, ELELCTRICITY, GAS AND OTHER FUELS;ACTUAL RENTALS FOR HOUSING;OOH;REGULAR MAINTENANCE AND REPAIR OF THE DWELLING;MATERIALS FOR MAINTENANCE AND REPAIR;SERVICES FOR MAINTENANCE AND REPAIR;WATER SUPPLY AND MISC. SERVICES FOR THE DWELLING;WATER SUPPLY;SEWERAGE COLLECTION;ELECTRICITY, GAS AND OTHER FUELS;ELECTRICITY;GAS;LIQUID FUELS;SOLID FUELS;COUNCIL TAX AND OTHER RATES;FURNITURE, HOUSEHOLD EQUIPMENT AND MAINTENANCE;FURNITURE, FURNISHINGS & CARPETS;FURNITURE & FURNISHINGS;CARPETS & OTHER FLOOR COVERINGS;HOUSEHOLD TEXTILES;HOUSEHOLD APPLIANCES, FITTING AND REPAIRS;MAJOR APPLIANCES AND SMALL ELECTRIC GOODS;REPAIR OF HOUSEHOLD APPLIANCES;GLASSWARE, TABLEWARE & HOUSEHOLD UTENSILS;TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN;GOODS AND SERVICES FOR ROUTINE MAINTENANCE;NON-DURABLE HOUSEHOLD GOODS;DOMESTIC SERVICES AND HOUSEHOLD SERVICES;HEALTH;MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT;PHARMACEUTICAL PRODUCTS;OTHER MEDICAL & THERAPEUTIC EQUIPMENT;OUT-PATIENT SERVICES;MEDICAL SERVICES AND PARAMEDICAL SERVICES;DENTAL SERVICES;HOSPITAL SERVICES;TRANSPORT;PURCHASE OF VEHICLES;MOTOR CYCLES AND BICYCLES;NEW CARS;SECOND-HAND CARS;OPERATION OF PERSONAL TRANSPORT EQUIPMENT;SPARE PARTS & ACCESSORIES;FUELS & LUBRICANTS;MAINTENANCE & REPAIRS;OTHER SERVICES IN RESPECT OF PERSONAL TRANSPORT EQ;TRANSPORT SERVICES;PASSENGER TRANSPORT BY RAILWAY;PASSENGER TRANSPORT BY ROAD;PASSENGER TRANSPORT BY AIR;PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY;COMMUNICATION;POSTAL SERVICES;TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES;RECREATION & CULTURE;AUDIO-VISUAL EQUIPMENT AND RELATED PRODUCTS;RECEPTION AND REPRODUCTION OF SOUND AND PICTURES;PHOTOGRAPHIC AND CINE. EQU. & OPTICAL INSTRUMENTS;DATA PROCESSING EQUIPMENT;RECORDING MEDIA;REPAIR OF AUDIO-VISUAL & RELATED PRODUCTS;OTHER MAJOR DURABLES FOR RECREATION AND CULTURE;MAJOR DURABLES FOR IN/OUTDOOR RECREATION;OTHER RECREATIONAL ITEMS, GARDENS & PETS;GAMES TOYS AND HOBBIES;EQUIPMENT FOR SPORT & OPEN-AIR RECREATION;GARDEN PLANTS AND FLOWERS;PETS, RELATED PRODUCTS AND SERVICES;RECREATIONAL AND CULTURAL SERVICES;RECREATIONAL AND SPORTING SERVICES;CULTURAL SERVICES;BOOKS, NEWSPAPERS AND STATIONERY;BOOKS;NEWSPAPERS AND PERIODICALS;MISC. PRINTED MATTER, STATIONERY, DRAWING MATERIALS;PACKAGE HOLIDAY;EDUCATION;RESTAURANTS AND HOTELS;CATERING SERVICES;RESTAURANTS & CAFES;CANTEENS;ACCOMMODATION SERVICES;MISCELLANEOUS GOODS AND SERVICES;PERSONAL CARE;HAIRDRESSING & PERSONAL GROOMING ESTABLISHMENTS;APPLIANCES & PRODUCTS FOR PERSONAL CARE;PERSONAL EFFECTS (NEC);JEWELLERY CLOCKS AND WATCHES;OTHER PERSONAL EFFECTS;SOCIAL PROTECTION;INSURANCE;HOUSE CONTENTS INSURANCE;HEALTH INSURANCE;TRANSPORT INSURANCE;FINANCIAL SERVICES (NEC);OTHER FINANCIAL SERVICES (NEC);OTHER SERVICES (NEC);;All Goods;Food, Alcoholic Beverages & Tobacco;Processed Food & Non-Alcoholic Beverages;Non-processed Food;Seasonal Food;Clothing & Footwear Goods;Housing Goods;Household goods;"Water supply; materials for maintenance/repair";Energy;Electricity, Gas & Misc. Energy;Liquid Fuels, Vehicle Fuels & Lubricants;Medical products, appliances and equipment;Vehicles, spare parts and accessories;Recreational Goods;Miscellaneous Goods;All Services;Housing Services;Primary Housing Services;Other Housing Services;Medical Services;Travel & Transport Services;Services for Personal Transport Equipment;Recreation & Personal Services;Package Holidays & Accommodation;Other Recreational & Personal Services;Non-Catering Recreational & Personal Services;Miscellaneous Services;Audio-Visual Goods;Other Recreational Goods;CPIH excluding Energy;CPIH excluding Energy, Food, Alcohol & Tobacco;CPIH excluding Seasonal Food;CPIH excluding Energy & Seasonal Food;CPIH excluding Liquid Fuels, Vehicle Fuels & Lubricants;CPIH excluding Energy & Non-processed Food;CPIH excluding Alcohol & Tobacco;CPIH excluding Housing, Water, Electricity, Gas & Other Fuels;CPIH excluding Education, Health & Social Protection;Non-Seasonal Food;Non-Energy Industrial Goods;Durables;Semi-Durables;Non-Durables;Energy, Food, Alcohol & Tobacco;Energy & Non-processed Food;Energy & Seasonal Food;Education, Health & Social Protection;CPIH excluding tobacco;Industrial Goods;Miscellaneous and Other Services;CPIH excluding owner occupiers' housing costs;CPIH excluding council tax;CPIH excluding owner occupiers' housing costs and council tax and rates;
200501;Jan-05;78,321;70,907;70,896;71,410;72,696;63,001;74,568;66,312;68,867;74,336;64,074;81,060;71,216;67,098;72,648;62,055;80,419;75,296;78,523;92,347;51,682;121,641;121,658;124,636;98,560;74,226;121,845;76,358;75,687;84,791;76,432;72,208;82,377;60,980;61,164;60,528;45,778;48,817;40,432;63,266;53,435;78,828;81,776;80,266;80,956;79,525;101,585;91,741;92,214;91,170;86,038;74,664;72,965;75,286;73,990;74,741;89,957;87,534;93,643;77,096;81,822;72,047;58,215;72,015;98,716;82,343;85,699;127,136;70,654;82,756;71,250;68,890;75,206;50,146;61,860;69,664;47,007;52,058;87,526;42,964;91,067;98,505;258,720;272,045;973,421;424,487;127,808;80,361;79,438;79,438;103,401;121,960;101,184;90,646;71,103;67,905;66,845;68,492;71,701;78,110;62,276;80,988;77,822;39,863;72,779;72,301;71,856;76,757;76,384;81,932;86,455;76,772;90,016;73,892;66,086;92,577;67,379;62,820;99,730;52,021;52,725;104,622;104,622;72,917;;83,140;68,219;70,585;71,399;70,278;122,942;79,455;82,832;67,456;55,427;44,698;71,064;89,957;96,809;122,410;84,018;75,089;81,630;77,893;76,382;64,505;58,003;70,421;72,948;77,170;71,671;70,028;84,185;275,556;90,450;80,038;81,994;78,522;80,301;78,614;80,464;78,987;79,207;79,409;71,153;100,512;108,016;110,123;78,794;64,024;61,637;59,343;58,549;78,971;89,754;67,483;77,057;78,309;77,005;
200502;Feb-05;78,497;71,411;71,408;72,390;73,069;62,296;74,571;66,096;68,506;76,767;63,963;80,949;71,661;66,690;73,326;62,338;80,779;76,232;78,579;92,631;51,921;121,495;121,435;124,395;98,269;74,571;122,169;76,462;75,724;84,906;76,428;72,057;82,625;60,980;61,164;60,528;46,048;49,192;40,597;63,436;53,754;78,828;82,103;80,238;80,966;79,385;103,219;93,451;94,184;91,380;86,062;74,544;72,910;75,159;74,005;74,860;90,142;87,211;94,266;77,333;82,192;72,061;58,225;72,693;99,099;81,125;85,986;128,131;71,083;82,685;72,210;68,969;75,247;51,442;61,860;69,586;51,843;52,850;87,709;42,964;91,267;98,038;254,931;270,195;966,204;414,193;125,251;80,392;79,435;79,435;102,224;118,738;101,415;91,878;71,139;68,028;66,791;68,683;71,755;80,464;62,120;79,063;77,805;39,863;72,975;72,489;72,051;76,887;76,633;81,977;86,738;77,143;90,262;74,506;66,604;93,479;67,431;61,931;99,229;52,021;51,485;104,548;104,548;72,964;;83,333;68,651;70,903;72,126;71,314;122,779;79,701;83,193;67,358;55,959;44,969;71,986;90,142;97,136;121,326;84,397;75,083;82,008;77,921;76,429;64,578;58,617;70,493;73,110;77,255;71,853;70,195;84,193;271,303;89,880;80,190;82,099;78,678;80,432;78,771;80,590;79,157;79,415;79,591;71,465;100,436;108,220;109,726;78,794;64,485;62,245;60,009;58,601;79,144;89,819;67,497;77,246;78,489;77,200;
200503;Mar-05;78,801;71,999;72,087;72,148;73,109;63,273;76,428;65,116;68,876;79,450;64,226;80,851;71,587;66,724;73,222;62,034;79,825;75,873;76,997;92,222;51,924;122,406;122,468;125,441;99,572;74,790;122,334;76,662;75,720;85,126;76,722;72,264;83,063;60,980;61,164;60,528;46,526;49,466;40,704;72,365;53,932;78,828;83,448;84,066;86,112;79,390;104,451;91,598;92,002;91,433;86,012;74,196;72,883;74,823;74,279;74,920;90,269;87,286;94,440;77,179;81,890;72,159;58,300;73,237;99,214;82,081;86,124;127,959;71,678;82,401;73,753;68,921;75,203;52,278;61,741;70,138;54,571;51,631;87,586;42,964;91,133;98,069;252,587;266,607;952,585;405,931;125,200;80,982;79,431;79,431;102,617;119,471;102,080;91,617;71,297;68,276;66,809;69,018;71,622;79,136;62,232;79,697;77,953;39,863;73,170;72,709;72,290;76,947;76,645;82,142;87,108;77,618;90,586;75,024;66,945;94,643;67,441;61,748;99,587;52,021;51,169;104,598;104,598;73,084;;83,826;68,944;71,221;73,039;72,986;123,712;80,847;84,673;67,492;56,841;45,158;73,911;90,269;97,199;121,131;84,791;75,264;82,173;77,995;76,665;64,590;59,019;70,445;73,320;77,350;72,094;70,489;84,263;268,568;90,029;80,458;82,363;78,951;80,666;79,036;80,828;79,490;79,765;79,912;71,764;100,941;109,047;110,227;78,945;64,958;63,136;61,103;58,624;79,457;90,410;67,537;77,569;78,801;77,533;
200504;Apr-05;79,130;71,350;71,373;71,866;72,675;63,378;76,257;64,567;68,698;75,522;64,646;80,499;71,417;66,469;73,074;62,761;80,159;75,786;77,811;92,089;52,809;121,979;122,120;125,042;99,772;74,872;121,412;77,388;77,092;85,163;76,752;72,108;83,410;67,927;69,453;66,114;46,780;49,677;40,853;75,004;53,901;82,012;82,352;81,659;82,535;80,391;102,782;92,283;92,796;91,483;84,621;74,298;73,242;75,317;74,522;75,362;90,510;87,930;94,340;77,375;82,142;72,265;59,027;73,647;99,138;82,151;86,154;127,546;73,165;82,571;76,928;69,281;75,312;51,512;62,222;70,534;50,742;52,311;87,592;44,697;90,935;98,479;252,253;260,706;969,763;391,257;128,135;81,565;79,312;79,312;102,498;119,730;102,231;89,252;72,178;69,499;67,189;70,563;71,602;77,925;62,840;79,686;78,273;39,863;73,758;73,226;72,809;77,449;77,741;82,551;86,512;78,039;89,572;74,991;66,732;95,371;67,842;61,898;99,320;52,637;51,112;106,665;106,665;73,509;;83,843;68,751;71,126;71,725;70,906;123,268;80,598;83,421;70,203;58,204;45,328;77,068;90,510;97,155;120,988;84,136;75,796;82,844;81,031;76,874;65,181;58,724;70,758;73,973;77,966;72,754;71,538;85,248;268,089;89,942;80,722;82,704;79,335;80,986;79,295;81,165;79,800;79,919;80,246;71,571;100,691;108,104;110,006;79,409;65,242;63,408;61,541;58,861;79,767;90,536;68,168;77,962;79,055;77,835;
200505;May-05;79,355;71,803;71,859;71,896;73,158;63,851;76,220;63,606;73,961;74,467;65,209;80,749;71,625;68,320;72,838;63,009;80,906;76,916;78,843;91,797;52,821;122,024;122,327;125,270;99,483;75,291;120,460;77,520;77,157;85,329;77,353;72,790;83,862;67,927;69,453;66,114;46,762;49,812;41,016;70,793;53,418;82,012;83,019;82,769;83,565;81,756;103,782;91,964;92,376;91,763;85,222;74,002;74,071;76,755;74,789;75,507;90,144;87,157;94,315;78,198;82,407;74,106;59,410;74,333;98,788;81,843;86,218;126,007;73,129;82,363;76,527;69,609;75,532;54,158;61,941;70,676;60,090;56,361;87,208;44,697;90,513;98,237;251,080;261,121;955,697;379,528;129,080;81,871;79,536;79,536;101,583;117,954;101,536;89,060;72,204;69,647;67,399;70,687;71,875;77,180;63,125;80,982;77,998;39,863;73,991;73,486;73,066;77,725;77,793;82,671;86,741;78,279;89,796;74,078;65,666;95,274;68,184;61,989;99,320;52,637;51,245;106,811;106,811;73,804;;83,948;69,137;71,260;72,560;72,048;123,300;81,249;84,138;70,645;58,041;45,451;76,472;90,144;96,822;120,503;83,946;76,097;82,983;81,101;77,141;65,694;60,265;71,066;74,128;77,817;72,990;71,712;85,502;266,718;89,620;80,972;82,931;79,539;81,215;79,541;81,388;80,023;80,185;80,477;71,807;100,685;107,963;109,848;79,721;65,458;63,650;61,728;58,984;79,998;90,493;68,376;78,199;79,285;78,081;
200506;Jun-05;79,426;71,820;71,931;72,202;73,161;63,444;76,557;62,710;76,693;73,127;65,133;80,508;71,243;67,345;72,615;63,030;80,921;76,391;79,232;91,704;52,843;121,627;121,889;124,779;99,557;75,376;120,322;77,679;77,160;85,543;77,277;72,505;84,144;67,927;69,453;66,114;47,090;49,896;41,157;77,883;53,189;82,012;83,253;83,399;84,595;81,219;103,276;92,087;92,530;91,700;85,117;74,045;74,222;76,836;75,016;75,581;89,990;86,973;94,185;78,665;83,107;74,183;59,555;74,410;98,629;82,277;86,272;125,099;73,434;82,603;76,517;70,184;76,218;54,102;62,487;70,967;59,316;54,945;87,398;44,697;90,722;98,072;245,697;258,644;916,675;364,324;127,073;82,097;79,560;79,560;102,467;119,408;101,587;89,953;72,340;69,598;67,450;70,601;72,249;78,503;63,272;80,801;77,737;39,863;74,086;73,567;73,166;77,636;77,985;82,797;86,408;78,439;89,261;74,634;66,525;94,451;68,610;61,924;100,111;52,637;51,047;106,885;106,885;74,158;;83,931;69,156;71,259;72,600;72,120;122,888;81,384;84,379;70,460;58,241;45,549;76,824;89,990;96,714;120,315;83,809;76,225;83,141;81,160;77,318;65,932;60,446;71,666;74,156;77,730;73,048;71,708;85,778;260,642;90,200;81,035;83,001;79,610;81,278;79,604;81,452;80,096;80,217;80,545;71,880;100,578;107,813;109,780;79,617;65,532;63,784;61,893;59,099;80,071;90,457;68,562;78,240;79,358;78,122;
200507;Jul-05;79,478;71,010;70,884;72,048;72,892;63,679;76,385;63,549;68,192;71,346;65,272;79,956;72,160;69,192;73,285;63,175;81,323;76,231;80,220;91,596;52,867;116,724;116,624;119,052;98,393;75,448;117,631;77,851;77,628;85,669;77,555;72,691;84,578;67,927;69,453;66,114;47,310;49,919;41,227;83,331;53,122;82,012;82,496;83,092;84,521;80,220;98,714;92,348;92,812;91,847;83,241;73,979;74,035;76,246;75,217;76,189;90,153;87,396;94,128;78,847;83,284;74,380;60,747;76,129;98,480;81,937;86,497;123,908;74,714;82,621;79,021;70,257;78,418;58,074;62,351;71,343;71,666;69,464;86,686;44,697;89,940;97,611;241,812;252,958;867,378;362,968;126,393;82,589;79,612;79,612;100,842;116,712;100,543;88,572;72,321;70,185;67,623;71,346;72,539;80,849;62,772;80,490;77,409;39,863;74,339;73,703;73,313;77,669;79,080;83,525;86,172;78,604;88,859;73,389;65,626;91,988;69,020;63,221;100,726;53,749;52,307;109,600;109,600;75,040;;83,247;68,660;71,433;70,609;68,630;117,829;80,760;83,508;70,580;59,328;45,590;79,486;90,153;96,586;119,081;83,100;76,755;83,312;81,240;77,509;66,863;62,859;72,155;74,387;77,946;73,284;72,212;87,200;256,197;89,501;81,019;83,067;79,743;81,347;79,591;81,529;80,143;80,215;80,582;71,766;99,237;107,266;106,808;79,356;65,524;63,620;61,753;59,395;80,123;89,684;69,481;78,275;79,411;78,159;
200508;Aug-05;79,713;71,155;71,038;72,518;73,222;63,659;76,757;63,615;69,984;69,817;65,402;79,906;72,240;69,458;73,315;63,124;81,169;75,494;80,103;92,082;52,863;118,723;118,795;121,368;99,418;75,677;118,580;77,966;77,742;85,878;76,516;70,908;84,827;67,927;69,453;66,114;47,579;50,043;41,263;88,443;53,798;82,012;82,599;82,121;83,079;80,622;101,021;93,269;93,866;92,000;84,784;73,489;74,278;76,427;75,533;76,345;90,355;87,473;94,440;78,987;83,366;74,629;60,865;77,035;98,095;81,425;86,544;122,327;76,038;83,187;81,565;70,767;78,616;59,473;62,431;71,403;76,184;73,407;87,022;44,697;90,308;97,158;237,274;245,963;863,241;359,892;123,005;83,000;79,707;79,707;101,129;118,011;98,028;88,804;72,037;69,815;67,969;70,705;72,025;79,557;62,684;79,970;77,286;39,863;74,577;73,940;73,447;78,852;79,321;83,672;86,158;78,729;88,788;74,819;66,893;93,829;69,388;62,265;100,807;53,749;50,891;109,570;109,570;75,288;;83,510;68,740;71,683;70,629;68,381;119,883;80,529;83,592;69,427;60,461;45,694;82,169;90,355;96,322;118,415;83,575;76,971;83,483;81,280;77,795;66,989;63,658;72,605;74,474;77,962;73,389;71,958;87,383;251,036;89,475;81,197;83,262;79,989;81,536;79,766;81,714;80,392;80,504;80,824;72,074;99,358;106,820;107,820;79,046;65,927;64,297;62,514;59,527;80,366;90,040;69,601;78,517;79,653;78,409;
200509;Sep-05;79,857;71,171;71,131;72,368;73,193;63,962;77,062;63,282;69,820;70,523;65,396;79,644;71,694;69,164;72,698;63,028;80,829;75,895;79,186;92,013;52,883;120,710;120,833;123,522;100,613;76,048;120,251;78,154;77,815;86,059;76,499;70,774;85,010;67,927;69,453;66,114;48,187;50,583;41,841;90,307;54,449;82,012;83,140;82,755;83,962;80,533;102,962;93,097;93,651;92,083;85,222;73,718;74,631;76,864;75,819;76,279;90,133;86,988;94,440;79,071;83,461;74,699;60,894;76,363;98,128;81,384;86,620;122,245;77,807;83,556;85,502;70,956;78,861;54,586;62,264;71,817;59,727;58,422;86,933;44,740;90,205;97,447;235,669;244,652;838,867;359,601;122,533;83,296;79,695;79,695;101,772;118,970;99,484;88,164;72,720;70,612;69,651;71,169;72,462;80,213;63,385;79,650;76,971;40,710;74,772;74,040;73,579;78,657;80,195;83,830;86,035;78,998;88,504;75,432;67,103;96,018;69,784;62,282;101,093;53,749;50,878;109,590;109,590;75,561;;84,045;68,719;71,560;70,812;68,748;121,919;80,940;84,169;69,341;62,334;46,252;86,013;90,133;96,397;118,650;83,618;76,860;83,628;81,314;78,045;67,034;61,124;72,806;74,708;78,102;73,647;72,647;87,600;249,183;89,951;81,229;83,303;80,127;81,559;79,818;81,739;80,547;80,628;80,949;72,062;99,859;106,906;109,127;79,040;66,487;65,476;63,980;59,983;80,513;90,857;69,980;78,653;79,800;78,549;
200510;Oct-05;79,997;71,008;70,956;72,328;72,757;64,631;77,411;63,218;70,583;68,772;65,751;79,639;71,619;68,392;72,811;63,296;80,678;75,950;79,197;91,272;53,335;120,736;120,950;123,697;99,730;76,271;119,722;78,496;77,853;86,302;76,939;71,156;85,542;67,927;69,453;66,114;49,622;51,691;43,372;93,885;56,736;82,012;82,494;82,130;82,839;81,362;99,878;92,339;92,695;92,475;85,043;73,435;74,782;76,957;76,033;76,484;90,434;87,658;94,430;79,244;83,601;74,937;61,015;76,181;98,161;81,218;86,719;122,127;77,490;83,572;84,342;71,310;79,150;54,420;62,461;72,320;58,797;55,344;86,708;44,741;89,958;97,517;235,074;235,953;822,671;363,357;124,801;83,629;79,755;79,755;102,075;119,137;100,107;88,879;72,770;70,728;69,693;71,314;72,606;79,737;63,725;80,049;76,870;41,750;75,007;74,268;73,821;78,756;80,486;84,198;86,451;79,261;88,981;75,024;66,987;94,465;70,133;62,459;100,722;53,952;51,084;110,477;110,477;75,867;;84,064;68,699;71,682;70,307;68,184;121,939;80,438;83,417;69,588;62,782;47,601;85,091;90,434;96,429;118,767;83,773;77,078;83,814;81,388;78,288;67,172;61,183;73,149;74,881;78,152;73,854;72,796;88,114;248,455;90,165;81,349;83,447;80,284;81,696;79,984;81,889;80,681;80,679;81,061;72,036;99,775;106,456;109,019;79,376;66,610;65,537;64,157;60,611;80,642;90,897;70,597;78,771;79,944;78,671;
200511;Nov-05;80,017;71,463;71,472;72,665;73,863;64,716;77,524;62,839;72,376;68,933;65,853;79,590;71,625;69,071;72,635;63,318;79,965;74,331;78,936;90,724;53,694;121,431;121,754;124,507;100,717;76,575;119,753;78,673;77,901;86,408;76,838;70,868;85,764;67,927;69,453;66,114;50,561;52,779;44,974;83,717;57,265;82,012;83,330;83,687;84,743;81,924;101,932;92,181;92,538;92,307;85,942;73,365;74,565;76,276;76,262;76,461;90,263;87,187;94,514;79,425;83,823;75,053;61,059;75,035;97,860;81,224;86,369;121,938;76,488;83,934;81,356;71,801;79,351;52,338;62,704;72,225;51,365;52,402;86,747;44,741;90,001;97,322;231,119;234,874;760,041;359,649;123,720;83,735;79,911;79,911;101,857;118,797;98,481;89,230;72,937;71,023;69,815;71,676;73,028;79,371;64,938;79,733;76,603;41,750;75,056;74,391;73,929;79,022;79,998;84,375;86,439;79,336;88,933;75,240;67,013;95,436;70,282;62,858;100,961;53,952;51,640;110,502;110,502;76,244;;84,165;69,011;71,798;71,167;68,830;122,646;81,081;84,336;69,402;62,229;48,903;81,729;90,263;96,211;118,282;83,821;77,045;83,903;81,427;78,449;67,255;60,284;73,586;74,933;77,800;74,013;73,052;88,317;244,002;90,233;81,407;83,461;80,289;81,739;80,089;81,908;80,700;80,629;81,080;72,502;99,927;106,480;109,382;79,419;66,656;65,559;63,926;60,635;80,651;90,886;70,722;78,772;79,964;78,672;
